run_id,trace_csv,meta_json,true_r,true_N,true_i0,num_events_full
exp001_run01,data\groups\r_estimation_N20\raw\r1_i5\exp001_run01.csv,,1,15,5,
exp001_run02,data\groups\r_estimation_N20\raw\r1_i5\exp001_run02.csv,,1,15,5,
exp001_run03,data\groups\r_estimation_N20\raw\r1_i5\exp001_run03.csv,,1,15,5,
exp001_run04,data\groups\r_estimation_N20\raw\r1_i5\exp001_run04.csv,,1,15,5,
exp001_run05,data\groups\r_estimation_N20\raw\r1_i5\exp001_run05.csv,,1,15,5,
exp001_run06,data\groups\r_estimation_N20\raw\r1_i5\exp001_run06.csv,,1,15,5,
exp001_run07,data\groups\r_estimation_N20\raw\r1_i5\exp001_run07.csv,,1,15,5,
exp001_run08,data\groups\r_estimation_N20\raw\r1_i5\exp001_run08.csv,,1,15,5,
exp001_run09,data\groups\r_estimation_N20\raw\r1_i5\exp001_run09.csv,,1,15,5,
exp001_run10,data\groups\r_estimation_N20\raw\r1_i5\exp001_run10.csv,,1,15,5,
exp001_run11,data\groups\r_estimation_N20\raw\r1_i5\exp001_run11.csv,,1,15,5,
exp001_run12,data\groups\r_estimation_N20\raw\r1_i5\exp001_run12.csv,,1,15,5,
exp001_run13,data\groups\r_estimation_N20\raw\r1_i5\exp001_run13.csv,,1,15,5,
exp001_run14,data\groups\r_estimation_N20\raw\r1_i5\exp001_run14.csv,,1,15,5,
exp001_run15,data\groups\r_estimation_N20\raw\r1_i5\exp001_run15.csv,,1,15,5,
exp001_run16,data\groups\r_estimation_N20\raw\r1_i5\exp001_run16.csv,,1,15,5,
exp001_run17,data\groups\r_estimation_N20\raw\r1_i5\exp001_run17.csv,,1,15,5,
exp001_run18,data\groups\r_estimation_N20\raw\r1_i5\exp001_run18.csv,,1,15,5,
exp001_run19,data\groups\r_estimation_N20\raw\r1_i5\exp001_run19.csv,,1,15,5,
exp001_run20,data\groups\r_estimation_N20\raw\r1_i5\exp001_run20.csv,,1,15,5,
